src,ext,size,predicted_dest,audio_group
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - I dont give a fuck.wav,.wav,1095590,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Sound - muthafuckin credit card.wav,.wav,291918,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Screw - ripped up da party.wav,.wav,618426,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Big Mac - onna stang again.wav,.wav,566862,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Screw - fifties in the trunk.wav,.wav,618426,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Flex - lame ass niggas and how they simpin.wav,.wav,615214,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Darkside Click - Baby blunts.wav,.wav,521502,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Break a bitch 2.wav,.wav,104490,/Users/camerondixon/Music/OrganizedLibrary/06 Loops & Grooves/Breakbeats/Unsorted BPM,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Livewire - throw out indo.wav,.wav,573478,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Chop on my blade.wav,.wav,1017870,/Users/camerondixon/Music/OrganizedLibrary/05 Vocals/Vocal One Shots,Vocal
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Neva been fake.wav,.wav,1095590,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Knock er down if she act up.wav,.wav,738006,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Slikk Tha shocker - flashbacks.wav,.wav,571114,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Jyule - jumpin in da truck start to smoke.wav,.wav,697114,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/FC - Strapped at all times.wav,.wav,1019990,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Skitzo - stackin a gangsta life.wav,.wav,577718,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - nigga do or die.wav,.wav,483702,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Snares
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DP - cuz he wouldnt even skwab bac.wav,.wav,1208518,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - Dont fuk around.wav,.wav,602614,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Bun B - trill ass nigga.wav,.wav,2349386,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/2 Nes - load my muthafuckin 12 gauge.wav,.wav,346678,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
